시도명,시군구,유형,날짜,값
강원,강릉시,확진자,2020-01-01,0
강원,고성군,확진자,2020-01-01,0
강원,동해시,확진자,2020-01-01,0
강원,삼척시,확진자,2020-01-01,0
강원,속초시,확진자,2020-01-01,0
강원,양구군,확진자,2020-01-01,0
강원,양양군,확진자,2020-01-01,0
강원,영월군,확진자,2020-01-01,0
강원,원주시,확진자,2020-01-01,0
강원,인제군,확진자,2020-01-01,0
강원,정선군,확진자,2020-01-01,0
강원,철원군,확진자,2020-01-01,0
강원,춘천시,확진자,2020-01-01,0
강원,태백시,확진자,2020-01-01,0
강원,평창군,확진자,2020-01-01,0
강원,홍천군,확진자,2020-01-01,0
강원,화천군,확진자,2020-01-01,0
강원,횡성군,확진자,2020-01-01,0
경기,가평군,확진자,2020-01-01,0
경기,고양시 덕양구,확진자,2020-01-01,1
경기,고양시 일산동구,확진자,2020-01-01,0
경기,고양시 일산서구,확진자,2020-01-01,0
경기,과천시,확진자,2020-01-01,0
경기,광명시,확진자,2020-01-01,0
경기,광주시,확진자,2020-01-01,0
경기,구리시,확진자,2020-01-01,0
경기,군포시,확진자,2020-01-01,0
경기,김포시,확진자,2020-01-01,0
경기,남양주시,확진자,2020-01-01,0
경기,동두천시,확진자,2020-01-01,0
경기,부천시,확진자,2020-01-01,0
경기,성남시 분당구,확진자,2020-01-01,1
경기,성남시 수정구,확진자,2020-01-01,0
경기,성남시 중원구,확진자,2020-01-01,0
경기,수원시 권선구,확진자,2020-01-01,0
경기,수원시 영통구,확진자,2020-01-01,0
경기,수원시 장안구,확진자,2020-01-01,0
경기,수원시 팔달구,확진자,2020-01-01,0
경기,시흥시,확진자,2020-01-01,0
경기,안산시 단원구,확진자,2020-01-01,0
경기,안산시 상록구,확진자,2020-01-01,0
경기,안성시,확진자,2020-01-01,0
경기,안양시 동안구,확진자,2020-01-01,0
경기,안양시 만안구,확진자,2020-01-01,0
경기,양주시,확진자,2020-01-01,0
경기,양평군,확진자,2020-01-01,0
경기,여주시,확진자,2020-01-01,0
경기,연천군,확진자,2020-01-01,0
경기,오산시,확진자,2020-01-01,0
경기,용인시 기흥구,확진자,2020-01-01,0
경기,용인시 수지구,확진자,2020-01-01,0
경기,용인시 처인구,확진자,2020-01-01,0
경기,의왕시,확진자,2020-01-01,0
경기,의정부시,확진자,2020-01-01,0
경기,이천시,확진자,2020-01-01,0
경기,파주시,확진자,2020-01-01,0
경기,평택시,확진자,2020-01-01,0
경기,포천시,확진자,2020-01-01,0
경기,하남시,확진자,2020-01-01,0
경기,화성시,확진자,2020-01-01,0
경남,거제시,확진자,2020-01-01,0
경남,거창군,확진자,2020-01-01,0
경남,고성군,확진자,2020-01-01,0
경남,김해시,확진자,2020-01-01,0
경남,남해군,확진자,2020-01-01,0
경남,밀양시,확진자,2020-01-01,0
경남,사천시,확진자,2020-01-01,0
경남,산청군,확진자,2020-01-01,0
경남,양산시,확진자,2020-01-01,0
경남,의령군,확진자,2020-01-01,0
경남,진주시,확진자,2020-01-01,0
경남,창녕군,확진자,2020-01-01,0
경남,창원시 마산합포구,확진자,2020-01-01,0
경남,창원시 마산회원구,확진자,2020-01-01,0
경남,창원시 성산구,확진자,2020-01-01,0
경남,창원시 의창구,확진자,2020-01-01,0
경남,창원시 진해구,확진자,2020-01-01,0
경남,통영시,확진자,2020-01-01,0
경남,하동군,확진자,2020-01-01,0
경남,함안군,확진자,2020-01-01,0
경남,함양군,확진자,2020-01-01,0
경남,합천군,확진자,2020-01-01,0
경북,경산시,확진자,2020-01-01,0
경북,경주시,확진자,2020-01-01,0
경북,고령군,확진자,2020-01-01,0
경북,구미시,확진자,2020-01-01,0
경북,군위군,확진자,2020-01-01,0
경북,김천시,확진자,2020-01-01,0
경북,문경시,확진자,2020-01-01,0
경북,봉화군,확진자,2020-01-01,0
경북,상주시,확진자,2020-01-01,0
경북,성주군,확진자,2020-01-01,0
경북,안동시,확진자,2020-01-01,0
경북,영덕군,확진자,2020-01-01,0
경북,영양군,확진자,2020-01-01,0
경북,영주시,확진자,2020-01-01,0
경북,영천시,확진자,2020-01-01,0
경북,예천군,확진자,2020-01-01,0
경북,울릉군,확진자,2020-01-01,0
경북,울진군,확진자,2020-01-01,0
경북,의성군,확진자,2020-01-01,0
경북,청도군,확진자,2020-01-01,0
경북,청송군,확진자,2020-01-01,0
경북,칠곡군,확진자,2020-01-01,0
경북,포항시 남구,확진자,2020-01-01,0
경북,포항시 북구,확진자,2020-01-01,0
광주,광산구,확진자,2020-01-01,0
광주,남구,확진자,2020-01-01,0
광주,동구,확진자,2020-01-01,0
