날짜,국내발생,해외유입,사망,남자,여자
2020-01-20,0,1,0,0,1
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,1,0,1,0
2020-01-25,0,0,0,0,0
2020-01-26,0,1,0,1,0
2020-01-27,0,1,0,1,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,1,2,0,3,0
2020-01-31,3,1,0,1,3
2020-02-01,0,1,0,1,0
2020-02-02,1,2,0,2,1
2020-02-03,0,0,0,0,0
2020-02-04,0,1,0,0,1
2020-02-05,3,2,0,2,3
2020-02-06,1,2,0,2,1
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,1,2,0,1,2
2020-02-10,1,0,0,0,1
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,2,0,0,1,1
2020-02-17,0,0,0,0,0
2020-02-18,2,0,0,0,2
2020-02-19,34,0,0,13,21
2020-02-20,16,0,1,5,11
2020-02-21,74,0,0,34,40
2020-02-22,190,0,2,95,95
2020-02-23,209,1,0,69,141
2020-02-24,206,1,4,69,138
2020-02-25,129,1,1,43,87
2020-02-26,252,1,2,94,159
2020-02-27,447,2,1,176,273
2020-02-28,427,0,1,156,271
2020-02-29,909,0,3,324,585
2020-03-01,593,2,1,236,359
2020-03-02,684,2,6,262,424
2020-03-03,599,1,5,219,381
2020-03-04,516,0,4,186,330
2020-03-05,437,1,3,153,285
2020-03-06,518,0,7,197,321
2020-03-07,483,0,2,176,307
2020-03-08,366,1,6,172,195
2020-03-09,247,1,1,103,145
2020-03-10,131,0,3,53,78
2020-03-11,239,3,6,95,147
2020-03-12,112,2,6,47,67
2020-03-13,107,3,1,50,60
2020-03-14,102,5,5,57,50
2020-03-15,72,4,3,35,41
2020-03-16,70,4,0,33,41
2020-03-17,79,5,6,31,53
2020-03-18,80,13,3,40,53
2020-03-19,135,17,7,57,95
2020-03-20,73,14,3,33,54
2020-03-21,126,21,8,57,90
2020-03-22,77,21,2,43,55
2020-03-23,46,18,7,27,37
2020-03-24,46,30,9,40,36
2020-03-25,42,58,6,53,47
2020-03-26,56,48,5,48,56
2020-03-27,57,34,8,40,51
2020-03-28,90,56,5,98,48
2020-03-29,38,67,8,63,42
2020-03-30,35,43,6,35,43
2020-03-31,88,37,4,71,54
2020-04-01,56,45,3,41,60
2020-04-02,43,46,4,34,55
2020-04-03,37,49,5,34,52
2020-04-04,53,41,3,39,55
2020-04-05,31,50,6,46,35
2020-04-06,25,22,2,21,26
2020-04-07,23,24,6,18,29
2020-04-08,23,30,7,25,28
2020-04-09,13,26,4,22,17
2020-04-10,17,10,4,15,12
2020-04-11,16,14,3,15,15
2020-04-12,9,23,3,14,18
2020-04-13,10,15,3,14,11
2020-04-14,11,16,5,13,14
2020-04-15,13,14,3,10,17
2020-04-16,11,11,4,6,16
2020-04-17,7,15,1,14,8
2020-04-18,9,9,2,7,11
2020-04-19,2,6,2,4,4
2020-04-20,6,7,2,5,8
2020-04-21,4,5,1,6,3
2020-04-22,5,6,1,6,5
2020-04-23,4,4,2,4,4
2020-04-24,4,2,0,5,1
2020-04-25,5,5,0,4,6
2020-04-26,1,9,2,6,4
2020-04-27,3,7,1,4,6
2020-04-28,2,12,1,7,7
2020-04-29,4,5,2,4,5
2020-04-30,0,4,1,4,0
2020-05-01,1,8,1,4,5
2020-05-02,0,6,2,6,0
2020-05-03,3,10,0,7,6
2020-05-04,0,8,2,6,2
2020-05-05,0,3,2,2,1
2020-05-06,0,2,1,2,0
2020-05-07,1,3,1,3,1
2020-05-08,1,11,0,7,5
